accession,strain,lineage,date,joint_WHO_China_sample_id,addtl_annotations
EPI_ISL_416365,Shanghai/SH0058/2020,B,2020-01-30,,other
EPI_ISL_416352,Shanghai/SH0043/2020,A,2020-01-30,,other
EPI_ISL_416349,Shanghai/SH0040/2020,B,2020-01-30,,other
EPI_ISL_416344,Shanghai/SH0035/2020,A,2020-01-30,,other
EPI_ISL_416333,Shanghai/SH0024/2020,A,2020-01-30,,other
EPI_ISL_416332,Shanghai/SH0023/2020,B.4,2020-01-30,,other
EPI_ISL_416331,Shanghai/SH0022/2020,B.4,2020-01-30,,other
EPI_ISL_416326,Shanghai/SH0013/2020,A,2020-01-30,,other
EPI_ISL_414941,Shandong/LY008-2/2020,A,2020-01-30,,other
EPI_ISL_413889,Guangdong/2020XN4291-P0038/2020,A0,2020-01-30,,other
EPI_ISL_413888,Guangdong/2020XN4239-P0034/2020,B,2020-01-30,,other
EPI_ISL_413860,Guangdong/2020XN4273-P0036/2020,A,2020-01-30,,other
EPI_ISL_413858,Guangdong/2020XN4459-P0041/2020,A,2020-01-30,,other
EPI_ISL_413854,Guangdong/2020XN4475-P0042/2020,A,2020-01-30,,other
EPI_ISL_413853,Guangdong/2020XN4243-P0035/2020,A,2020-01-30,,other
EPI_ISL_413852,Guangdong/2020XN4433-P0040/2020,B,2020-01-30,,other
EPI_ISL_413851,Guangdong/2020XN4373-P0039/2020,B,2020-01-30,,other
EPI_ISL_412029,HongKong/VB20024950-2/2020,B,2020-01-30,,other
EPI_ISL_407896,Australia/QLD02/2020,A,2020-01-30,,other
OR240376,SH-P228-A-2-Wuhan/2020-01-31,B,2020-01-31,,other
OR240405,SH-P231-2-Shanghai/2020-01-31,B,2020-01-31,,other
EPI_ISL_476139,Sweden/20-02114/2020,B,2020-01-31,,other
EPI_ISL_475997,Singapore/466/2020,A,2020-01-31,,other
EPI_ISL_464098,hCoV-19/Zhejiang/Shaoxing-06/2020,A0,2020-01-31,,other
EPI_ISL_464097,hCoV-19/Zhejiang/Shaoxing-05/2020,B,2020-01-31,,other
EPI_ISL_464096,hCoV-19/Zhejiang/Shaoxing-04/2020,A,2020-01-31,,other
EPI_ISL_453783,hCoV-19/Wuhan/DT-WH04/2020,CC,2020-01-31,,other
EPI_ISL_452363,Beijing/DT-WH04/2020,CC,2020-01-31,,other
EPI_ISL_451398,Sichuan/SC-YB-085/2020,B,2020-01-31,,other
EPI_ISL_451397,Sichuan/SC-YA-088/2020,B,2020-01-31,,other
EPI_ISL_451374,Sichuan/SC-WCH-082/2020,B,2020-01-31,,other
EPI_ISL_451344,Sichuan/SC-NJ-095/2020,B,2020-01-31,,other
EPI_ISL_451325,Sichuan/SC-MY-059/2020,CC,2020-01-31,,other
EPI_ISL_430730,Beijing/BJ390/2020,A,2020-01-31,,other
EPI_ISL_428446,Guangdong/20SF1159/2020,B,2020-01-31,,other
EPI_ISL_419733,Australia/VIC13/2020,A,2020-01-31,,other
EPI_ISL_416390,Shanghai/SH0094/2020,B,2020-01-31,,other
EPI_ISL_416386,Shanghai/SH0086/2020,B-B.1,2020-01-31,,other
EPI_ISL_413857,Guangdong/2020XN4448-P0002/2020,B,2020-01-31,,other
EPI_ISL_413523,India/MH-1-31/2020,A,2020-01-31,,other
EPI_ISL_410546,Italy/LAZ-INMI1-cs/2020,B,2020-01-31,,other
EPI_ISL_408670,USA/WI-CDC-03041142-001/2020,B,2020-01-31,,other
OR240386,SH-P228-B-2-Wuhan/2020-02-01,B,2020-02-01,,other
OR240401,SH-P240-2-Other_city_of_Hubei-Ezhou/2020-02-01,B,2020-02-01,,other
OR240396,SH-P212-B-2-Wuhan/2020-02-01,B-B.1,2020-02-01,,other
OR240359,SH-P213-B-2-Europe-Germany/2020-02-01,B-B.1,2020-02-01,,other
EPI_ISL_732541,Germany/BY-IMB00234/2020,B-B.1,2020-02-01,,other
EPI_ISL_455508,hCoV-19/Jiangxi/JX2480/2020,B,2020-02-01,,other
EPI_ISL_455466,Yingtan/JX2480/2020,B,2020-02-01,,other
EPI_ISL_453782,hCoV-19/Wuhan/DT-WH03/2020,B,2020-02-01,,other
EPI_ISL_452362,Beijing/DT-WH03/2020,B,2020-02-01,,other
EPI_ISL_452360,Beijing/DT-WH01/2020,B,2020-02-01,,other
EPI_ISL_451333,Sichuan/SC-NC-074/2020,CC,2020-02-01,,other
EPI_ISL_451327,Sichuan/SC-NC-067/2020,B,2020-02-01,,other
EPI_ISL_451322,Sichuan/SC-MY-056/2020,CC,2020-02-01,,other
EPI_ISL_451316,Sichuan/SC-GA-065/2020,B,2020-02-01,,other
EPI_ISL_450203,Germany/BY-ChVir-1289/2020,B-B.1,2020-02-01,,other
EPI_ISL_429854,Lishui/LS557/2020,A,2020-02-01,,other
EPI_ISL_429104,Guangzhou/GZMU0036/2020,B,2020-02-01,,other
EPI_ISL_429088,Guangzhou/GZMU0035/2020,B,2020-02-01,,other
EPI_ISL_429086,Guangzhou/GZMU0034/2020,B,2020-02-01,,other
EPI_ISL_429085,Guangzhou/GZMU0033/2020,B,2020-02-01,,other
EPI_ISL_416387,Shanghai/SH0088/2020,B,2020-02-01,,other
EPI_ISL_416381,Shanghai/SH0079/2020,A,2020-02-01,,other
EPI_ISL_416379,Shanghai/SH0076/2020,B,2020-02-01,,other
EPI_ISL_416375,Shanghai/SH0072/2020,B,2020-02-01,,other
EPI_ISL_416372,Shanghai/SH0069/2020,A,2020-02-01,,other
EPI_ISL_416370,Shanghai/SH0067/2020,B,2020-02-01,,other
EPI_ISL_416367,Shanghai/SH0060/2020,B,2020-02-01,,other
EPI_ISL_416361,Shanghai/SH0053/2020,B,2020-02-01,,other
EPI_ISL_416360,Shanghai/SH0052/2020,B,2020-02-01,,other
EPI_ISL_416357,Shanghai/SH0049/2020,A,2020-02-01,,other
EPI_ISL_416341,Shanghai/SH0032/2020,A,2020-02-01,,other
EPI_ISL_416338,Shanghai/SH0029/2020,A,2020-02-01,,other
EPI_ISL_416336,Shanghai/SH0027/2020,B,2020-02-01,,other
EPI_ISL_416329,Shanghai/SH0020/2020,B,2020-02-01,,other
EPI_ISL_416328,Shanghai/SH0017/2020,A,2020-02-01,,other
EPI_ISL_413884,Guangdong/GD2020115-P0009/2020,B,2020-02-01,,other
EPI_ISL_413863,Guangdong/GD2020087-P0008/2020,B,2020-02-01,,other
EPI_ISL_413862,Guangdong/GD2020086-P0021/2020,A,2020-02-01,,other
EPI_ISL_413861,Guangdong/GD2020080-P0010/2020,B,2020-02-01,,other
EPI_ISL_412030,HongKong/VB20026565-2/2020,B,2020-02-01,,other
OR240413,SH-P212-C-2-Wuhan/2020-02-02,B-B.1,2020-02-02,,other
EPI_ISL_536435,Singapore/894/2020,A0,2020-02-02,,other
EPI_ISL_451386,Sichuan/SC-WCH4-284/2020,B,2020-02-02,,other
EPI_ISL_451383,Sichuan/SC-WCH3-254/2020,A,2020-02-02,,other
EPI_ISL_451331,Sichuan/SC-NC-072/2020,B,2020-02-02,,other
EPI_ISL_451328,Sichuan/SC-NC-068/2020,B,2020-02-02,,other
EPI_ISL_451326,Sichuan/SC-MY-060/2020,B,2020-02-02,,other
EPI_ISL_451324,Sichuan/SC-MY-058/2020,B,2020-02-02,,other
EPI_ISL_451321,Sichuan/SC-MY-055/2020,B,2020-02-02,,other
EPI_ISL_430728,Beijing/BJ492/2020,A0,2020-02-02,,other
EPI_ISL_426164,SouthKorea/KCDC2004/2020,B,2020-02-02,,other
EPI_ISL_421257,Shangrao/JX1215/2020,B,2020-02-02,,other
EPI_ISL_419734,Australia/VIC14/2020,B,2020-02-02,,other
EPI_ISL_416409,Shanghai/SH0128/2020,A,2020-02-02,,other
EPI_ISL_416405,Shanghai/SH0121/2020,B,2020-02-02,,other
EPI_ISL_416403,Shanghai/SH0117/2020,A,2020-02-02,,other
EPI_ISL_416401,Shanghai/SH0114/2020,B,2020-02-02,,other
EPI_ISL_416400,Shanghai/SH0112/2020,B,2020-02-02,,other
EPI_ISL_416398,Shanghai/SH0109/2020,B,2020-02-02,,other
EPI_ISL_416397,Shanghai/SH0107/2020,B,2020-02-02,,other
EPI_ISL_416392,Shanghai/SH0100/2020,A,2020-02-02,,other
EPI_ISL_416391,Shanghai/SH0098/2020,B,2020-02-02,,other
EPI_ISL_416362,Shanghai/SH0054/2020,B,2020-02-02,,other
EPI_ISL_416340,Shanghai/SH0031/2020,B,2020-02-02,,other
EPI_ISL_416335,Shanghai/SH0026/2020,A,2020-02-02,,other
EPI_ISL_416330,Shanghai/SH0021/2020,A,2020-02-02,,other
EPI_ISL_416325,Shanghai/SH0012/2020,B,2020-02-02,,other
EPI_ISL_413882,Guangdong/GD2020139-P0007/2020,B,2020-02-02,,other
EPI_ISL_410719,Singapore/11/2020,B,2020-02-02,,other
OR240358,SH-P230-2-Shanghai/2020-02-03,A,2020-02-03,,other
OR240388,SH-P242-2-Shanghai/2020-02-03,A,2020-02-03,,other
OR240406,SH-P215-2-Shanghai/2020-02-03,A0,2020-02-03,,other
OR240361,SH-P205-2-Shanghai/2020-02-03,B,2020-02-03,,other
OR240383,SH-P22-F-2-Shanghai/2020-02-03,B,2020-02-03,,other
EPI_ISL_887187,Germany/BAV-PL-virotum_vn9f/2020,B-B.1,2020-02-03,,other
EPI_ISL_536452,Singapore/911/2020,B,2020-02-03,,other
EPI_ISL_536439,Singapore/898/2020,B,2020-02-03,,other
EPI_ISL_497783,HongKong/HKU-200723-016/2020,B,2020-02-03,,other
EPI_ISL_489996,SaudiArabia/477/2020,B.1,2020-02-03,,other
EPI_ISL_464304,England/201040024/2020,B.1,2020-02-03,,other
EPI_ISL_464303,England/201040023/2020,B.1,2020-02-03,,other
EPI_ISL_464302,England/201040021/2020,B.1,2020-02-03,,other
EPI_ISL_459960,England/201060022/2020,B,2020-02-03,,other
EPI_ISL_455505,hCoV-19/Jiangxi/JX490/2020,B,2020-02-03,,other
EPI_ISL_455463,Jiujiang/JX490/2020,B,2020-02-03,,other
EPI_ISL_454919,Wuhan/HB-WH1-143/2020,CC,2020-02-03,,other
EPI_ISL_451394,Sichuan/SC-WCH4-293/2020,CC,2020-02-03,,other
EPI_ISL_451385,Sichuan/SC-WCH3-259/2020,B,2020-02-03,,other
EPI_ISL_451373,Sichuan/SC-WCH-081/2020,B,2020-02-03,,other
EPI_ISL_451372,Sichuan/SC-PHCC2-052/2020,B,2020-02-03,,other
EPI_ISL_451358,Sichuan/SC-PHCC2-038/2020,B,2020-02-03,,other
EPI_ISL_451357,Sichuan/SC-PHCC1-036/2020,B,2020-02-03,,other
EPI_ISL_451341,Sichuan/SC-NJ-092/2020,B,2020-02-03,,other
EPI_ISL_451317,Sichuan/SC-GA-066/2020,CC,2020-02-03,,other
EPI_ISL_451301,Italy/LAZ-INMI2-B/2020,B,2020-02-03,,other
EPI_ISL_451300,Italy/LAZ-INMI1-N/2020,B,2020-02-03,,other
EPI_ISL_450204,Germany/BY-ChVir-1356/2020,B-B.1,2020-02-03,,other
EPI_ISL_421254,Shangrao/JX1178/2020,B,2020-02-03,,other
EPI_ISL_421251,Shangrao/JX1176/2020,B,2020-02-03,,other
EPI_ISL_421250,Shangrao/JX1177/2020,B,2020-02-03,,other
EPI_ISL_417180,HongKong/HKPU17_2201/2020,B,2020-02-03,,other
EPI_ISL_416339,Shanghai/SH0030/2020,A,2020-02-03,,other
EPI_ISL_410714,Singapore/8/2020,B,2020-02-03,,other
EPI_ISL_407976,Belgium/GHB-03021/2020,A,2020-02-03,,other
OR240419,SH-P224-2-Other_city_of_Hubei-Huanggang/2020-02-04,B,2020-02-04,,other
EPI_ISL_693290,Australia/QLD1293/2020,A,2020-02-04,,other
EPI_ISL_489997,SaudiArabia/492/2020,B.1,2020-02-04,,other
EPI_ISL_455391,Wuhan/HB-WH5-228/2020,B,2020-02-04,,other
EPI_ISL_454981,Wuhan/HB-WH5-240/2020,B,2020-02-04,,other
EPI_ISL_453779,hCoV-19/Wuhan/DT-WH02/2020,B,2020-02-04,,other
EPI_ISL_452357,Beijing/DT-WH02/2020,B,2020-02-04,,other
EPI_ISL_451399,Sichuan/SC-YB-086/2020,B,2020-02-04,,other
EPI_ISL_451370,Sichuan/SC-PHCC2-050/2020,A0,2020-02-04,,other
EPI_ISL_451346,Sichuan/SC-PHCC1-025/2020,A0,2020-02-04,,other
EPI_ISL_451299,Italy/LAZ-INMI1-B2/2020,B,2020-02-04,,other
EPI_ISL_430733,Beijing/BJ556/2020,A0,2020-02-04,,other
EPI_ISL_430731,Beijing/BJ561/2020,A0,2020-02-04,,other
EPI_ISL_416384,Shanghai/SH0083/2020,B,2020-02-04,,other
EPI_ISL_416355,Shanghai/SH0047/2020,B,2020-02-04,,other
EPI_ISL_416354,Shanghai/SH0045/2020,B,2020-02-04,,other
EPI_ISL_416353,Shanghai/SH0044/2020,B,2020-02-04,,other
EPI_ISL_416345,Shanghai/SH0036/2020,B,2020-02-04,,other
EPI_ISL_416343,Shanghai/SH0034/2020,A,2020-02-04,,other
EPI_ISL_416342,Shanghai/SH0033/2020,B,2020-02-04,,other
EPI_ISL_416337,Shanghai/SH0028/2020,B,2020-02-04,,other
EPI_ISL_410716,Singapore/10/2020,B,2020-02-04,,other
EPI_ISL_410715,Singapore/9/2020,B,2020-02-04,,other
OR240477,SH-P34-A-2-Wuhan/2020-02-05,B,2020-02-05,,other
OR240466,SH-P27-A-2-Shanghai/2020-02-05,B,2020-02-05,,other
OR240475,SH-P32-2-Shanghai/2020-02-05,B,2020-02-05,,other
EPI_ISL_536441,Singapore/900/2020,B,2020-02-05,,other
EPI_ISL_464101,hCoV-19/Zhejiang/Shaoxing-09/2020,A,2020-02-05,,other
EPI_ISL_455506,hCoV-19/Jiangxi/JX2009/2020,A,2020-02-05,,other
EPI_ISL_455504,hCoV-19/Jiangxi/JX2012/2020,A,2020-02-05,,other
EPI_ISL_455464,Fuzhou/JX2009/2020,A,2020-02-05,,other
EPI_ISL_455462,Fuzhou/JX2012/2020,A,2020-02-05,,other
EPI_ISL_452364,Beijing/DT-BJ04/2020,B,2020-02-05,,other
EPI_ISL_451338,Sichuan/SC-NJ-089/2020,B,2020-02-05,,other
EPI_ISL_451329,Sichuan/SC-NC-069/2020,B,2020-02-05,,other
EPI_ISL_430738,Beijing/BJ589/2020,A,2020-02-05,,other
EPI_ISL_429084,Guangzhou/GZMU0025/2020,A,2020-02-05,,other
EPI_ISL_429083,Guangzhou/GZMU0024/2020,A,2020-02-05,,other
EPI_ISL_429082,Guangzhou/GZMU0023/2020,A,2020-02-05,,other
EPI_ISL_429081,Guangzhou/GZMU0020/2020,B-B.1,2020-02-05,,other
EPI_ISL_429080,Guangzhou/GZMU0019/2020,B-B.1,2020-02-05,,other
EPI_ISL_429079,Guangzhou/GZMU0017/2020,B,2020-02-05,,other
EPI_ISL_426180,SouthKorea/KCDC2010/2020,A,2020-02-05,,other
EPI_ISL_426171,SouthKorea/KCDC2008/2020,A,2020-02-05,,other
EPI_ISL_426169,SouthKorea/KCDC2007/2020,B,2020-02-05,,other
EPI_ISL_421240,Shangrao/JX1948/2020,A,2020-02-05,,other
EPI_ISL_417182,HongKong/HKPU20_3001/2020,B,2020-02-05,,other
EPI_ISL_417181,HongKong/HKPU19_0402/2020,B,2020-02-05,,other
EPI_ISL_416376,Shanghai/SH0073/2020,B,2020-02-05,,other
EPI_ISL_416369,Shanghai/SH0066/2020,B,2020-02-05,,other
EPI_ISL_416368,Shanghai/SH0065/2020,A,2020-02-05,,other
EPI_ISL_416358,Shanghai/SH0050/2020,B,2020-02-05,,other
EPI_ISL_414040,England/200641094/2020,B,2020-02-05,,other
EPI_ISL_413867,Guangdong/GDSZ202015-P0019/2020,A,2020-02-05,,other
EPI_ISL_413866,Guangdong/GDSZ202008-P0020/2020,B,2020-02-05,,other
EPI_ISL_412386,Beijing/ICDC-DT005/2020,B,2020-02-05,,other
EPI_ISL_410718,Australia/QLD04/2020,A,2020-02-05,,other
EPI_ISL_410717,Australia/QLD03/2020,A,2020-02-05,,other
OR240429,SH-P06-2-Wuhan/2020-02-06,A,2020-02-06,,other
OR240460,SH-P23-2-Asia-Japan/2020-02-06,A,2020-02-06,,other
OR240463,SH-P25-A-2-Other_city_of_Hubei-Xiaogan/2020-02-06,A,2020-02-06,,other
OR240487,SH-P39-2-Wuhan/2020-02-06,A,2020-02-06,,other
OR240420,SH-P11-C-2-Shanghai/2020-02-06,A,2020-02-06,,other
OR240414,SH-P243-2-Shanghai/2020-02-06,B,2020-02-06,,other
OR240478,SH-P34-B-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240389,SH-P245-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240394,SH-P217-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240449,SH-P19-A-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240425,SH-P03-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240467,SH-P27-B-2-Shanghai/2020-02-06,B,2020-02-06,,other
OR240461,SH-P24-A-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240451,SH-P20-A-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240452,SH-P20-B-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240465,SH-P26-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240472,SH-P30-A-2-Wuhan/2020-02-06,B,2020-02-06,,other
OR240492,SH-P43-A-2-Shanghai/2020-02-06,B,2020-02-06,,other
OR240423,SH-P01-2-Shanghai/2020-02-06,B,2020-02-06,,other
EPI_ISL_812956,SouthKorea/KCDC03-NCCP43326/2020,A,2020-02-06,,other
EPI_ISL_493390,Singapore/630/2020,B,2020-02-06,,other
EPI_ISL_464102,hCoV-19/Zhejiang/Shaoxing-10/2020,A,2020-02-06,,other
EPI_ISL_463902,Shaoxing/10/2020,A,2020-02-06,,other
EPI_ISL_457730,Taiwan/TSGH-36/2020,B,2020-02-06,,other
EPI_ISL_457726,Taiwan/TSGH-35/2020,B,2020-02-06,,other
EPI_ISL_455503,hCoV-19/Jiangxi/JX2391/2020,A,2020-02-06,,other
EPI_ISL_455461,Yichun/JX2391/2020,A,2020-02-06,,other
EPI_ISL_454964,Wuhan/HB-WH4-216/2020,B,2020-02-06,,other
EPI_ISL_451340,Sichuan/SC-NJ-091/2020,B,2020-02-06,,other
EPI_ISL_430739,Beijing/BJ625/2020,B,2020-02-06,,other
EPI_ISL_428458,Guangdong/20SF2546/2020,A,2020-02-06,,other
EPI_ISL_422428,Singapore/35/2020,B,2020-02-06,,other
EPI_ISL_418997,Singapore/16/2020,T-,2020-02-06,,other
EPI_ISL_416359,Shanghai/SH0051/2020,B,2020-02-06,,other
EPI_ISL_416351,Shanghai/SH0042/2020,B,2020-02-06,,other
EPI_ISL_416348,Shanghai/SH0039/2020,B,2020-02-06,,other
EPI_ISL_416347,Shanghai/SH0038/2020,B,2020-02-06,,other
EPI_ISL_416334,Shanghai/SH0025/2020,B-B.1,2020-02-06,,other
EPI_ISL_413017,SouthKorea/KUMC01/2020,CC,2020-02-06,,other
EPI_ISL_412873,SouthKorea/KCDC24/2020,A,2020-02-06,,other
EPI_ISL_411954,USA/CA-CDC-03046181-001/2020,A,2020-02-06,,other
OR240436,SH-P11-A-2-Shanghai/2020-02-07,A,2020-02-07,,other
OR240454,SH-P21-2-Wuhan/2020-02-07,A,2020-02-07,,other
OR240392,SH-P214-2-Wuhan/2020-02-07,A,2020-02-07,,other
OR240400,SH-P260-A-2-Other_province_of_China-Anhui/2020-02-07,A0,2020-02-07,,other
OR240490,SH-P41-2-Shanghai/2020-02-07,B,2020-02-07,,other
OR240479,SH-P34-C-2-Wuhan/2020-02-07,B,2020-02-07,,other
OR240374,SH-P22-H-2-Shanghai/2020-02-07,B,2020-02-07,,other
OR240502,SH-P47-2-Unclear/2020-02-07,B,2020-02-07,,other
OR240496,SH-P44-A-2-Shanghai/2020-02-07,B,2020-02-07,,other
OR240501,SH-P46-2-Unclear/2020-02-07,B,2020-02-07,,other
OR240486,SH-P38-2-Wuhan/2020-02-07,B,2020-02-07,,other
OR240503,SH-P48-A-2-Shanghai/2020-02-07,B,2020-02-07,,other
OR240512,SH-P51-2-Wuhan/2020-02-07,B.4,2020-02-07,,other
OR240416,SH-P212-D-2-Wuhan/2020-02-07,B-B.1,2020-02-07,,other
EPI_ISL_648043,Singapore/1135/2020,B,2020-02-07,,other
EPI_ISL_582609,UnitedArabEmirates/skmc-0381517/2020,B,2020-02-07,,other
EPI_ISL_493421,Singapore/661/2020,B,2020-02-07,,other
EPI_ISL_455385,Wuhan/HB-WH4-193/2020,B,2020-02-07,,other
EPI_ISL_451356,Sichuan/SC-PHCC1-035/2020,B,2020-02-07,,other
EPI_ISL_450207,Germany/BY-ChVir-1482/2020,B-B.1,2020-02-07,,other
EPI_ISL_430740,Beijing/BJ710/2020,B,2020-02-07,,other
EPI_ISL_430729,Beijing/BJ709/2020,CC,2020-02-07,,other
EPI_ISL_429078,Guangzhou/GZMU0013/2020,B,2020-02-07,,other
EPI_ISL_429077,Guangzhou/GZMU0010/2020,B,2020-02-07,,other
EPI_ISL_429076,Guangzhou/GZMU0009/2020,B,2020-02-07,,other
EPI_ISL_429075,Guangzhou/GZMU0008/2020,A,2020-02-07,,other
EPI_ISL_429074,Guangzhou/GZMU0003/2020,B,2020-02-07,,other
EPI_ISL_416377,Shanghai/SH0074/2020,A0,2020-02-07,,other
EPI_ISL_416373,Shanghai/SH0070/2020,B.4,2020-02-07,,other
EPI_ISL_416314,HongKong/CUHK1/2020,B,2020-02-07,,other
EPI_ISL_414043,England/200690306/2020,B,2020-02-07,,other
EPI_ISL_413856,Guangdong/GD2020233-P0027/2020,A,2020-02-07,,other
EPI_ISL_413855,Guangdong/GD2020234-P0023/2020,A,2020-02-07,,other
EPI_ISL_412982,Wuhan/HBCDC-HB-06/2020,A,2020-02-07,,other
OR240427,SH-P05-A-2-Other_province_of_China-Guangdong/2020-02-08,A,2020-02-08,,other
OR240474,SH-P31-2-Wuhan/2020-02-08,A,2020-02-08,,other
OR240421,SH-P226-2-Wuhan/2020-02-08,A,2020-02-08,,other
OR240366,SH-P260-B-2-Other_province_of_China-Anhui/2020-02-08,A0,2020-02-08,,other
OR240402,SH-P266-2-Other_city_of_Hubei-Xiangyang/2020-02-08,B,2020-02-08,,other
OR240513,SH-P52-2-Asia-Sri_Lanka/2020-02-08,B,2020-02-08,,other
OR240471,SH-P29-2-Wuhan/2020-02-08,B,2020-02-08,,other
OR240375,SH-P35-B-2-Shanghai/2020-02-08,B,2020-02-08,,other
OR240497,SH-P44-B-2-Shanghai/2020-02-08,B,2020-02-08,,other
OR240469,SH-P28-A-2-Shanghai/2020-02-08,B,2020-02-08,,other
OR240514,SH-P53-2-Wuhan/2020-02-08,B,2020-02-08,,other
OR240485,SH-P37-2-Shanghai/2020-02-08,B0,2020-02-08,,other
EPI_ISL_648071,Singapore/17nan/2020,B,2020-02-08,,other
EPI_ISL_462304,Singapore/186/2020,B,2020-02-08,,other
EPI_ISL_457733,Taiwan/TSGH-37/2020,B,2020-02-08,,other
EPI_ISL_453781,hCoV-19/China/DT-WH03/2020,B,2020-02-08,,other
EPI_ISL_452359,Beijing/DT-BJ02/2020,B,2020-02-08,,other
EPI_ISL_451377,Sichuan/SC-WCH2-006/2020,CC,2020-02-08,,other
EPI_ISL_451375,Sichuan/SC-WCH1-002/2020,B,2020-02-08,,other
EPI_ISL_451369,Sichuan/SC-PHCC2-049/2020,B,2020-02-08,,other
EPI_ISL_451367,Sichuan/SC-PHCC2-047/2020,B,2020-02-08,,other
EPI_ISL_451352,Sichuan/SC-PHCC1-031/2020,B,2020-02-08,,other
EPI_ISL_451350,Sichuan/SC-PHCC1-029/2020,B,2020-02-08,,other
EPI_ISL_451349,Sichuan/SC-PHCC1-028/2020,B,2020-02-08,,other
EPI_ISL_451076,hCoV-19/Sichuan/SC-WCH2-006/2020,CC,2020-02-08,,other
EPI_ISL_450208,Germany/BY-ChVir-1483/2020,B-B.1,2020-02-08,,other
EPI_ISL_435134,UnitedArabEmirates/L4280/2020,B,2020-02-08,,other
EPI_ISL_430724,Beijing/BJ752/2020,A0,2020-02-08,,other
EPI_ISL_429095,Guangzhou/GZMU0050/2020,A0,2020-02-08,,other
EPI_ISL_429094,Guangzhou/GZMU0049/2020,A0,2020-02-08,,other
EPI_ISL_429093,Guangzhou/GZMU0046/2020,A,2020-02-08,,other
EPI_ISL_429092,Guangzhou/GZMU0045/2020,A,2020-02-08,,other
EPI_ISL_429091,Guangzhou/GZMU0041/2020,A,2020-02-08,,other
EPI_ISL_429090,Guangzhou/GZMU0039/2020,A,2020-02-08,,other
EPI_ISL_429089,Guangzhou/GZMU0037/2020,B-B.1,2020-02-08,,other
EPI_ISL_421258,Shangrao/JX1974/2020,B,2020-02-08,,other
EPI_ISL_417188,HongKong/HKPU30_2901/2020,B,2020-02-08,,other
EPI_ISL_417187,HongKong/HKPU29_0102/2020,B,2020-02-08,,other
EPI_ISL_416415,Australia/VIC07/2020,A,2020-02-08,,other
EPI_ISL_416382,Shanghai/SH0080/2020,B.4,2020-02-08,,other
EPI_ISL_416364,Shanghai/SH0056/2020,B,2020-02-08,,other
EPI_ISL_416363,Shanghai/SH0055/2020,B,2020-02-08,,other
EPI_ISL_414044,England/200690756/2020,B,2020-02-08,,other
EPI_ISL_414042,England/200690300/2020,B,2020-02-08,,other
EPI_ISL_414041,England/200690245/2020,B,2020-02-08,,other
EPI_ISL_412983,Tianmen/HBCDC-HB-07/2020,A,2020-02-08,,other
EPI_ISL_410486,France/ARA-739/2020,B,2020-02-08,,other
OR240430,SH-P07-A-2-Shanghai/2020-02-09,A,2020-02-09,,other
OR240468,SH-P27-C-2-Shanghai/2020-02-09,B,2020-02-09,,other
OR240473,SH-P30-B-2-Wuhan/2020-02-09,B,2020-02-09,,other
OR240356,SH-P249-2-Unclear/2020-02-09,B,2020-02-09,,other
OR240444,SH-P16-2-Wuhan/2020-02-09,B,2020-02-09,,other
EPI_ISL_489998,SaudiArabia/509/2020,B.1,2020-02-09,,other
EPI_ISL_482680,Singapore/6nan/2020,B,2020-02-09,,other
EPI_ISL_464168,England/20072030304/2020,B,2020-02-09,,other
EPI_ISL_462293,Singapore/175/2020,B,2020-02-09,,other
EPI_ISL_455502,hCoV-19/Jiangxi/JX2325/2020,A0,2020-02-09,,other
EPI_ISL_455460,Yichun/JX2325/2020,A0,2020-02-09,,other
EPI_ISL_454980,Wuhan/HB-WH5-239/2020,B,2020-02-09,,other
EPI_ISL_451371,Sichuan/SC-PHCC2-051/2020,A,2020-02-09,,other
EPI_ISL_451354,Sichuan/SC-PHCC1-033/2020,A,2020-02-09,,other
EPI_ISL_451348,Sichuan/SC-PHCC1-027/2020,A,2020-02-09,,other
EPI_ISL_429103,Guangzhou/GZMU0060/2020,B,2020-02-09,,other
EPI_ISL_426182,SouthKorea/KCDC2012/2020,A,2020-02-09,,other
EPI_ISL_418815,HongKong/HKPU36-0702/2020,B,2020-02-09,,other
EPI_ISL_417199,HongKong/HKPU35_0402/2020,B,2020-02-09,,other
EPI_ISL_417197,HongKong/HKPU34_3001/2020,B,2020-02-09,,other
EPI_ISL_417195,HongKong/HKPU33_0202/2020,B,2020-02-09,,other
EPI_ISL_417193,HongKong/HKPU32_0402/2020,B,2020-02-09,,other
EPI_ISL_417185,HongKong/HKPU28_3001/2020,B,2020-02-09,,other
EPI_ISL_416404,Shanghai/SH0119/2020,B,2020-02-09,,other
EPI_ISL_416393,Shanghai/SH0101/2020,B,2020-02-09,,other
EPI_ISL_416380,Shanghai/SH0077/2020,B,2020-02-09,,other
EPI_ISL_414527,HongKong/VM20002493-2/2020,B,2020-02-09,,other
